"Gene","GeneSymbol","Chr","start","end","band","cytoband","isCentromer","ensembl_gene_id","hgnc_symbol","entrezgene_id","description"
"ENSG00000210049","MT-TF","MT",577,647,"","MT","no","ENSG00000210049","MT-TF",NA,"mitochondrially encoded tRNA-Phe (UUU/C) [Source:HGNC Symbol;Acc:HGNC:7481]"
"ENSG00000211459","MT-RNR1","MT",648,1601,"","MT","no","ENSG00000211459","MT-RNR1",NA,"mitochondrially encoded 12S rRNA [Source:HGNC Symbol;Acc:HGNC:7470]"
"ENSG00000210077","MT-TV","MT",1602,1670,"","MT","no","ENSG00000210077","MT-TV",NA,"mitochondrially encoded tRNA-Val (GUN) [Source:HGNC Symbol;Acc:HGNC:7500]"
"ENSG00000210082","MT-RNR2","MT",1671,3229,"","MT","no","ENSG00000210082","MT-RNR2",NA,"mitochondrially encoded 16S rRNA [Source:HGNC Symbol;Acc:HGNC:7471]"
"ENSG00000209082","MT-TL1","MT",3230,3304,"","MT","no","ENSG00000209082","MT-TL1",NA,"mitochondrially encoded tRNA-Leu (UUA/G) 1 [Source:HGNC Symbol;Acc:HGNC:7490]"
"ENSG00000198888","MT-ND1","MT",3307,4262,"","MT","no","ENSG00000198888","MT-ND1",4535,"mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 [Source:HGNC Symbol;Acc:HGNC:7455]"
"ENSG00000210100","MT-TI","MT",4263,4331,"","MT","no","ENSG00000210100","MT-TI",NA,"mitochondrially encoded tRNA-Ile (AUU/C) [Source:HGNC Symbol;Acc:HGNC:7488]"
"ENSG00000210107","MT-TQ","MT",4329,4400,"","MT","no","ENSG00000210107","MT-TQ",NA,"mitochondrially encoded tRNA-Gln (CAA/G) [Source:HGNC Symbol;Acc:HGNC:7495]"
"ENSG00000210112","MT-TM","MT",4402,4469,"","MT","no","ENSG00000210112","MT-TM",NA,"mitochondrially encoded tRNA-Met (AUA/G) [Source:HGNC Symbol;Acc:HGNC:7492]"
"ENSG00000198763","MT-ND2","MT",4470,5511,"","MT","no","ENSG00000198763","MT-ND2",4536,"mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 [Source:HGNC Symbol;Acc:HGNC:7456]"
"ENSG00000210117","MT-TW","MT",5512,5579,"","MT","no","ENSG00000210117","MT-TW",NA,"mitochondrially encoded tRNA-Trp (UGA/G) [Source:HGNC Symbol;Acc:HGNC:7501]"
